SCENARIO_ID,DOMAIN,SETTING_VISUAL,CAMERA_STYLE,ROLE_AUTHORITY,ROLE_TONE,NET60_LINE,VISUAL_CONTRAST_BEAT,AMBIENT_AUDIO,HOLD_SECONDS,CTA_LINE,DELORES_TOGGLE,DELORES_VARIANT_LINE
NET60_COFFEE,Food,"Bright neighborhood coffee shop, morning rush","Medium static, natural light","Barista","Pleasant procedural","Your latte will be ready in 60 business days.","Customer staring at empty pickup counter holding receipt","Espresso machine hiss, light chatter","1.5","Your revenue shouldn't take longer than your coffee. Unlock cash from receivables today.",Optional,"Your request is currently under review."
NET60_GAS,Utilities,"Gas station at dusk, pump screen glowing","Close-up then cut to driver","Pump Speaker","Calm corporate","Fuel dispensing pending approval.","Driver looking at empty fuel gauge","Low traffic hum, faint speaker buzz","1.5","If fuel can't wait, neither should your cash. Turn invoices into working capital.",TRUE,"We're just waiting on one more confirmation."
NET60_AMBULANCE,Emergency,"Ambulance bay, gurney beside vehicle","Slow push-in","Paramedic","Measured professional","Your emergency is currently in queue.","Patient staring upward in silence","Fluorescent hum, distant siren echo","1.5","Critical needs don't operate on Net-60. Access capital fast.",Optional,"That's currently under review."
NET60_RESTAURANT,Food,"Family seated at empty restaurant table","Locked-off symmetrical frame","Waiter","Friendly formal","We'll begin preparing your order in 45 to 60 business days.","Untouched silverware and empty plates","Soft dining ambience","1.5","Hungry for growth? Stop waiting to get paid.",Optional,"It's processing in the order received."
NET60_PAYROLL,Finance,"Office breakroom, employee holding phone","Close-up on phone screen","HR Rep","Reassuring corporate","Direct deposit is pending review.","Employee lowers phone slowly","HVAC hum, muted office chatter","1.5","Your team shows up on time. Your payment should too.",TRUE,"Everything just needs to follow procedure."
NET60_CONSTRUCTION,Infrastructure,"Open foundation with rebar, idle crew","Wide establishing shot","Foreman","Matter-of-fact","Concrete pour pending final approval.","Workers standing idle with tools","Wind across site","1.5","Idle time is expensive. So is delayed payment.",Optional,"That version hasn't cleared yet."
NET60_GROCERY,Retail,"Checkout lane with scanned groceries","Over-shoulder customer shot","Cashier","Neutral polite","Payment will clear in 60 days.","Customer holding card mid-air","Register beep stops abruptly","1.5","If it sounds absurd here, it's absurd in business.",Optional,"We just need an additional confirmation."
NET60_AIRPORT,Transit,"Boarding line on jetway","Long lens compression shot","Gate Agent","Calm airline tone","Boarding will begin in 90 business days.","Passengers frozen mid-step","Airport PA announcement distant","1.5","Momentum dies when payment lags.",Optional,"It's currently in queue."
NET60_FIRE,Emergency,"Residential street, light smoke visible","Static wide frame","Firefighter","Measured","Water activation pending approval.","Crew holding hose but not moving","Soft crackling fire","1.5","Some things can't wait for paperwork.",Optional,"There isn't really an escalation path."
NET60_DOCTOR,Health,"Medical exam room, patient seated","Clock in foreground focus shift","Nurse","Professional calm","Treatment begins once billing clears.","Patient staring forward silently","Clock ticking","1.5","Operational delays don't belong in critical moments.",Optional,"That may take a little more time."
NET60_POWER,Utilities,"Dim living room, light switch close-up","Extreme close-up","Utility Voice","Neutral system tone","Power release pending reconciliation.","Room remains dark after switch flip","Silence after click","1.5","If power shuts off when cash slows down, fix the cash.",TRUE,"We appreciate your patience."
NET60_WEDDING,Ceremony,"Outdoor ceremony mid-vow","Centered symmetrical shot","Officiant","Warm formal","We'll proceed once payment confirmation arrives.","Bride and groom holding hands frozen","Birds chirping","1.5","Life moves forward. Net-60 holds it back.",Optional,"That's handled by another department."
NET60_SOFTWARE,Tech,"Laptop login screen close-up","Screen capture realism","System Message","Neutral digital","Access granted in 60 business days.","User leaning back from locked dashboard","Keyboard click echo","1.5","Access your own revenue instantly.",Optional,"It hasn't finalized yet."
NET60_DELIVERY,Logistics,"Truck idling at loading dock","Low angle industrial shot","Driver","Matter-of-fact","Unloading once fuel approval clears.","Cargo door unopened","Engine idling steady","1.5","Work completed. Payment shouldn't be theoretical.",Optional,"We're moving through the proper steps."
NET60_GYM,Health,"Modern gym floor with client mid-rep","Handheld slight shake","Trainer","Procedural confident","We'll start your workout in two billing cycles.","Client holding dumbbells awkwardly","Light gym ambience","1.5","Growth doesn't wait. Why should you?",Optional,"It depends on final review."
NET60_DENTIST,Health,"Dental chair reclined, tools ready","Close on dentist hands","Dentist","Clinical calm","Procedure pending billing confirmation.","Tool hovering mid-air","Soft suction sound stops","1.5","Pain doesn't wait. Neither should your payment.",Optional,"We just need a revised copy."
NET60_PHARMACY,Health,"Pharmacy counter with sealed bag behind glass","Static waist-level shot","Pharmacist","Pleasant neutral","Pickup window opens in 60 days.","Customer staring at empty counter","Low pharmacy chatter","1.5","Timing matters. Especially for cash flow.",Optional,"We're waiting on approval."
NET60_INTERNET,Utilities,"Video call freezes mid-sentence","Digital glitch overlay","ISP Rep","Customer service tone","Bandwidth pending approval.","Frozen face on screen","Digital glitch buzz","1.5","When systems stall, revenue stalls.",TRUE,"The portal is very sensitive."
NET60_TOW,Transit,"Busy street blocked by stalled car","Street-level tracking","Tow Driver","Calm practical","Vehicle removal once invoice matures.","Traffic backing up","Car horns distant","1.5","Delays create bigger problems.",Optional,"It's currently under manual review."
NET60_SCHOOL,Education,"Parent outside locked school doors","Slow dolly inward","Teacher","Gentle administrative","Release pending tuition reconciliation.","Child visible inside waiting","School hallway quiet","1.5","Access shouldn't be conditional.",Optional,"We're following standard procedure."
NET60_SERVER,Tech,"Server room dark monitors","Slow pan across racks","IT Tech","Technical neutral","Server restart pending financial approval.","Screens remain black","Fan noise fading","1.5","Downtime costs.",Optional,"It's still being processed."
NET60_MECHANIC,Service,"Auto shop with finished car","Close-up on keys","Mechanic","Friendly matter-of-fact","You can drive once payment cycles.","Customer holding keys still","Radio playing softly","1.5","Completed work deserves completed payment.",Optional,"That hasn't cleared yet."
NET60_GENERATOR,Infrastructure,"Backup generator blinking amber","Macro close-up","Facility Manager","Quiet serious","Refuel after reconciliation closes.","Warning light continues blinking","Low sputtering engine","1.5","Containment isn't growth.",Optional,"That's outside my control."
NET60_MOVIE,Entertainment,"Dark movie theater before film","Wide static shot","Usher","Pleasant formal","Film starts once concessions settle.","Blank screen remains black","Audience shifting in seats","1.5","Momentum matters.",Optional,"We'll be in touch."
NET60_POLICE,Emergency,"Police cruiser idling curbside","Interior dashboard shot","Dispatcher","Calm official","Deployment pending review.","Officer gripping steering wheel","City ambience low","1.5","Speed matters.",Optional,"It still needs approval."
NET60_MOVING,Logistics,"Empty house with boxes outside","Wide doorway frame","Mover","Friendly direct","Unloading scheduled in 60 days.","Family standing in empty room","Room echo","1.5","Progress delayed is progress denied.",Optional,"We just need one more sign-off."
NET60_DAYCARE,Care,"Daycare lobby with toys behind glass","Over-the-counter framing","Staff","Polite professional","Service resumes after billing clears.","Parent waiting awkwardly","Children faint laughter inside","1.5","Reliability builds trust.",Optional,"It's pending confirmation."
NET60_INVESTOR,Finance,"Startup founder reviewing runway chart","Over-shoulder financial graph","VC","Confident corporate","Funding wired in 90 days.","Founder staring at shrinking runway","Room quiet AC hum","1.5","Runway shrinks while you wait.",Optional,"It depends on review."
NET60_TRAFFIC,Infrastructure,"Busy intersection all red lights","Locked tripod center frame","Digital Sign","Neutral system display","Green light pending approval.","Cars backed up in all directions","Turn signal clicking","1.5","Flow matters.",Optional,"It's currently in queue."
